classification,count
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Dothideales|Placosphaeria,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Dothideales|Planistromellaceae|Kellermania,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Dothideales|Saccotheciaceae|Dothioraceae|Metasphaeria,5
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Dothideales|Saccotheciaceae|Dothioraceae|Protocoronospora,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Microthyriales|Microthyriaceae|Microthyrium,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Microthyriales|Muyocopronaceae|Microthyriaceae|Ellisiodothis,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Myriangiales|Elsinoaceae|ElsinoÅE,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Parodiopsidaceae|Dimerium,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Parodiopsidaceae|Stomatogene,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Polystomellaceae|Dothidella,8
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Hysteriales|Hysteriaceae|Gloniella,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Hysteriales|Hysteriaceae|Glonium,6
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Hysteriales|Hysteriaceae|Hysterographium,7
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Meliolomycetidae|Meliolales|Meliolaceae|Meliola,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Patellariales|Patellariaceae|Tryblidiella,5
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Ascochyta,7
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Dacampiaceae|Teichospora,3
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Herpotrichia,5
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Leptosphaeriaceae|Coniothyrium,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Leptosphaeriaceae|Leptosphaeria,11
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Leptosphaeriaceae|Leptosphaeria|Leptosphaeria agnita,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Leptosphaeriaceae|Ophiobolus,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Lophiostomataceae|Lophiostoma,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Massarinaceae|Helminthosporium,8
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Melanommataceae|Aposphaeria,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Neopeckia,5
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Phaeosphaeriaceae,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Phaeosphaeriaceae|Darluca,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Phaeosphaeriaceae|Stagonospora,3
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Phaeosphaeriaceae|Stagonospora|Stagonospora agrostidis,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Phaeosphaeriaceae|Tiarospora,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Pleomassariaceae|Stegonsporium,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Pleomassariaceae|Trematosphaeria,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Pleosporaceae,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Pleosporaceae|Alternaria,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Pleosporaceae|Curvularia,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Pleosporaceae|Epicoccum,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Pleosporaceae|Macrosporium,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Pleosporaceae|Pleospora,22
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Pleosporaceae|Pyrenophora,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Sporormiaceae|Berkleasmium,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Venturiaceae,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Venturiaceae|Dibotryon,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Venturiaceae|Piggotia,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Venturiaceae|Platychora,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Venturiaceae|Rhizogene,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Venturiaceae|Sphaerellopsis,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Venturiaceae|Venturia,1
Fungi|Ascomycota|Pezizomycotina|Dothiopsis,1
Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Chaetothyriomycetidae|Chaetothyriales|Bonordeniella,1
Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Chaetothyriomycetidae|Chaetothyriales|Coniosporium,1
